bank,event,event_transfers,event_transfers_cost,overall_rank,points,points_on_bench,rank,rank_sort,total_points,value
0,1,0,0,4179454,53,1,4179355,4187037,53,1000
0,2,0,0,4511758,33,15,4770739,4777957,86,1001
0,3,0,0,4891129,30,2,5464398,5467748,116,1000
0,4,0,0,4660392,58,11,2844883,2851376,174,998
0,5,0,0,4005565,64,19,1124167,1128419,238,994
0,6,0,0,3085875,67,10,1027514,1032731,305,995
0,7,0,0,2023320,69,5,276537,278048,374,995
0,8,0,0,1402461,49,2,711403,715125,423,995
0,9,0,0,1407868,37,9,3108355,3118847,460,995
0,10,0,0,1681568,46,9,3797937,3806080,506,995
0,11,0,0,1758810,56,2,2991401,2995832,562,998
0,12,0,0,1612473,56,5,1969024,1973899,618,998
0,13,0,0,1836707,46,0,4033846,4039196,664,998
0,14,0,0,1433017,65,0,941265,944506,729,998
0,15,0,0,1337088,10,6,1603032,1613707,739,1001
